#,PlantName,ScientificName,EdibleParts,PreparationMethods,Notes,Varieties,Warnings,LookAlike,Identification
114,Death Cap Mushroom,Amanita phalloides,None,,,,The death cap is responsible for the majority of fatal mushroom poisonings worldwide.,,"White gills, a prominent cup (volva) at the base, a ring around the stem, and grows near oak trees."
115,True Morel,Morchella spp,,,,,,False Morel,"Hollow stem and cap, with a honeycomb-like structure."
116,False Morel,Gyromitra spp,None,,,,"False morels contain gyromitrin, a toxin that can cause seizures, liver failure, and death.",,"Cap appears wrinkled or brain-like, often not hollow when cut open."
117,Wild Garlic,Allium ursinum,,,,,,Lily of the Valley,"Smells strongly of garlic/onion when crushed, has a single smooth stem."
118,Lily of the Valley,Convallaria majalis,None,,,,"Lily of the valley contains cardiac glycosides, which can cause heart failure.",,"No garlic smell, has multiple bell-shaped flowers on a single stem."
119,Wild Spinach,Chenopodium album,,,,,,Dog’s Mercury,"Leaves are mealy underneath, toothed but not glossy."
120,Dog’s Mercury,Mercurialis perennis,None,,,,"Dog’s mercury is highly toxic, causing vomiting, kidney damage, and even death.",,"Glossy, serrated leaves in opposite pairs, grows in shady woodlands."
121,Wild Grapes,Vitis spp,Fruit and leaves,Fruit can be eaten fresh or made into jelly; leaves are typically blanched or steamed.,,,Do not confuse with Moonseed; check for seeds and tendrils,Canada Moonseed,"Seeds: Contains 2–4 pear-shaped seeds. Climbing: Uses forked, curling tendrils to climb. Leaves: Toothed/jagged edges; stem attaches at the leaf base."
122,Canada Moonseed,Menispermum canadense,None,,,,Every part of the Canada Moonseed is highly toxic to humans and can be fatal if ingested,,"Seeds: Contains a single, flat, crescent-moon shaped seed. Climbing: No tendrils; climbs by twining the stems. Leaves: Smooth edges; stem attaches to the underside of the leaf (peltate)."
123,Common Camas,Camassia quamash,The bulb.,Traditionally pit-roasted for a long duration to convert inulin into digestible sugars.,,,Must only be harvested when in bloom to ensure it is not the toxic look-alike.,Death Camas,Common Camas is identified by its bright blue to deep purple flowers with six petals.
124,Death Camas,Toxicoscordion venenosum,None,,,,Every part of the plant is highly toxic and potentially lethal if ingested.,,"This plant is distinguished by its cream-colored or greenish-white flowers arranged in a tight cluster and its rigid, V-shaped leaves."
125,Pacific Rhododendron,Rhododendron macrophyllum,None,,,,"While not as skin-reactive as its look-alike, it is still not for consumption.",Spurge Laurel,"It is identified by its large, showy pink to purple bell-shaped flowers and large, leathery evergreen leaves."
126,Spurge Laurel,Daphne laureola,None,,,,"Toxic berries, bark, and sap; the sap can cause severe skin rashes and the berries are poisonous if eaten.",,"This invasive shrub has thick, glossy, evergreen leaves that spiral around the stem and small, inconspicuous yellow-green flowers that produce black berries."
127,Wild Blueberries,Vaccinium spp.,Berries.,"Eaten fresh, dried, or cooked.",,,Ensure you are not picking from a bush where toxic nightshade has intertwined its vines.,Bittersweet Nightshade,"Blueberries grow on woody shrubs, have bell-shaped flowers, and the berries have a distinct ""crown"" (calyx) at the end opposite the stem."
128,Bittersweet Nightshade,Solanum dulcamara,None,,,,"Contains solanine; ingestion can cause vomiting, diarrhea, and convulsions",,"This is a climbing or trailing vine (not a woody shrub) with purple flowers that have yellow centers; the berries turn bright red when ripe and lack the ""crown"" found on blueberries."
129,Pine Mushroom,Tricholoma murrillianum,The entire mushroom.,"Prized in cuisine, often sliced and grilled or used in soups.",,,Must be checked individually to ensure it is not a toxic look-alike.,Smith’s Amanita,"It has a solid, firm stem that is widest near the gills and tapers toward the base; it features a distinctive spicy odor similar to cinnamon and ""dirty gym socks"""
130,Smith’s Amanita,Amanita smithiana,None,,,,Causes severe kidney damage if ingested.,,"The stem typically widens at or below ground level into a torpedo-shaped bulb and can be wiggled off easily, unlike the solid pine mushroom stem."
131,Chanterelle,Cantharellus sp,The entire mushroom.,"Must be cooked thoroughly before eating, commonly sautéed in butter.",,,"Never eat raw, as they are mildly toxic without thorough cooking.",Jack O'Lantern,"Chanterelles have false gills (shallow, blunt ridges) that are part of the mushroom body and do not easily scrape off."
132,Jack O'Lantern,Omphalotus olivascens,None,,,,"Causes severe gastrointestinal distress, including intense vomiting and diarrhea.",,"This mushroom is distinguished by true, deep, knife-like gills and grows in large clusters on dead wood or buried roots, unlike the mycorrhizal chanterelle."
133,Honey Mushroom,Armillaria spp,Cap and upper stem.,Must be cooked thoroughly to avoid stomach upset.,,,Many individuals have sensitivities to this mushroom even when cooked.,Deadly Galerina,"Honey mushrooms grow in large clusters on wood, have white spore prints, and typically feature small ""hairs"" or scales on the cap."
134,Deadly Galerina,Galerina marginata,None,,,,Contains lethal amatoxins (the same as death caps) that cause acute liver damage and survive cooking.,,It is distinguished by a brown/rusty spore print and is generally smaller and more fragile than honey mushrooms.
135,Red Huckleberry,Vaccinium parvifolium,Berries,"Can be eaten fresh, dried, or cooked into jams and preserves.",,,Always ensure the berry is solid and does not have an exposed seed like the Yew.,Western Yew,"Red Huckleberry is identified by its solid, uniform, translucent red berries that do not have an open end or exposed seed."
136,Western Yew,Taxus brevifolia,None,,,,Lethally toxic; the seeds are extremely poisonous and can cause sudden heart failure if ingested.,,"This plant is distinguished by its cup-shaped, red fleshy ""berries"" (arils) that are open at the end to reveal a single visible brown seed."
137,Common Tansy,Tanacetum vulgare,None,,,,"While used historically in small amounts for medicinal purposes, it is generally considered toxic and unsafe for consumption.",,"Common Tansy is identified by its yellow, button-like flower heads that lack any visible outer petals."
138,Tansy Ragwort,Jacobaea vulgaris,None,,,,This plant is highly toxic to livestock and can pass toxins to humans through contaminated milk or honey.,,"Tansy Ragwort is distinguished by its bright yellow, daisy-like flowers that feature distinct, individual petals."
139,Red Elderberry,Sambucus racemosa,Berries (only after specific preparation).,Must be cooked and the seeds must be strained out; raw berries and seeds are toxic.,,,Eating raw berries causes intense nausea and digestive upset.,Baneberry,"Red Elderberries are distinguished by growing in large, dense, cone-shaped or pyramidal clusters."
140,Baneberry,Actaea rubra,None,,,,"Highly toxic; ingesting as few as two berries can cause severe vomiting, dizziness, and cardiac arrest.",,"Baneberry fruit grows in small, loose clusters and often features a distinct ""doll’s eye"" black dot on the end of each berry."
